id,link,operation,size,dorms,toilets,garage,price,additional_costs,scraping_date,type,street,neighborhood,city,latitude,longitude
0,0,renting,2082,0,10,0,50100,4637,2025-04-01,Prédio/Edificio inteiro,Rua Líbero Badaró,Centro,São Paulo,-23.935639,-46.325439
2792286127,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jabaquara-sao-paulo-com-garagem-65m2-aluguel-RS2000-id-2792286127/,renting,65,2,1,1,2000,587,2025-04-01,Apartamento,Avenida Doutor Luís Rocha Miranda,Jabaquara,São Paulo,-23.6366356,-46.6446038
2792181318,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-clarice-sao-paulo-57m2-aluguel-RS1900-id-2792181318/,renting,57,2,1,0,1900,50,2025-04-01,Apartamento,Avenida Inácia de Toledo,Vila Clarice,São Paulo,-23.618109,-46.566812
2792070684,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-60m2-aluguel-RS3300-id-2792070684/,renting,60,2,1,1,3300,820,2025-04-01,Apartamento,Avenida Engenheiro Heitor Antônio Eiras Garcia,Jardim Esmeralda,São Paulo,-20.301508,-51.049235
0,0,renting,350,0,2,0,4700,480,2025-04-01,Ponto comercial/Loja/Box,Rua Caquito,Vila São Geraldo,São Paulo,-21.130314,-47.782847
2792159917,https://www.vivareal.com.br/imovel/apartamento-1-quartos-consolacao-sao-paulo-com-garagem-40m2-aluguel-RS2250-id-2792159917/,renting,40,1,1,1,2250,1062,2025-04-01,Apartamento,Rua Bela Cintra,Consolação,São Paulo,-23.5553601,-46.6606577
2792071257,https://www.vivareal.com.br/imovel/sobrado-2-quartos-parque-ipe-sao-paulo-com-garagem-120m2-aluguel-RS2800-id-2792071257/,renting,120,2,3,1,2800,0,2025-04-01,Casa,Rua Mário Ancona,Parque Ipê,São Paulo,-23.5981111,-46.7966267
2792123455,https://www.vivareal.com.br/imovel/apartamento-1-quartos-agua-branca-sao-paulo-26m2-aluguel-RS2400-id-2792123455/,renting,26,1,1,0,2400,272,2025-04-01,Apartamento,Rua Mateo Forte,Água Branca,São Paulo,-23.5129887,-46.7004228
2792317843,https://www.vivareal.com.br/imovel/apartamento-2-quartos-luz-sao-paulo-60m2-aluguel-RS1800-id-2792317843/,renting,60,2,1,0,1800,160,2025-04-01,Apartamento,Rua Doutor Pedro Arbues,Luz,São Paulo,-23.5348268,-46.6303441
0,0,renting,984,0,8,12,35100,4340,2025-04-01,Imóvel comercial,Rua Corredeira,Bosque da Saúde,São Paulo,-23.618465,-46.63565
2791857614,https://www.vivareal.com.br/imovel/casa-de-condominio-2-quartos-vila-paiva-sao-paulo-42m2-aluguel-RS1700-id-2791857614/,renting,42,2,1,0,1700,283,2025-04-01,Casa de condomínio,Rua Caçador,Vila Paiva,São Paulo,-23.502137,-46.60719
2792127570,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-prudente-sao-paulo-35m2-aluguel-RS1500-id-2792127570/,renting,35,1,1,0,1500,0,2025-04-01,Apartamento,Rua Capitão Pacheco e Chaves,Vila Prudente,São Paulo,-23.5818214,-46.5877181
2791869934,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-sao-paulo-25m2-aluguel-RS3200-id-2791869934/,renting,25,1,1,0,3200,391,2025-04-01,Apartamento,Rua Doutor Penaforte Mendes,Bela Vista,São Paulo,-23.5547955,-46.6516181
2791114622,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-62m2-aluguel-RS5950-id-2791114622/,renting,62,1,2,1,5950,1161,2025-04-01,Apartamento,Rua Constantino de Sousa,Campo Belo,São Paulo,-23.6168959,-46.6731273
