id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs
2791839217,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791839217/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
2775796839,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-162m2-aluguel-RS21060-id-2775796839/,Sala/Conjunto para alugar ,renting,"Rua Gomes de Carvalho - Vila Olímpia, São Paulo",162 m²,,4,4,R$ 21.060/mês,Cond. R$ 3.910 • IPTU R$ 1.700
,,Apartamento para alugar ,renting,"Rua Vieira de Morais - Campo Belo, São Paulo",58 m²,1,2,1,R$ 3.500/mês,Cond. R$ 1.142 • IPTU R$ 233
2790645831,https://www.vivareal.com.br/imovel/cobertura-3-quartos-indianopolis-sao-paulo-com-garagem-115m2-aluguel-RS7000-id-2790645831/,Apartamento para alugar ,renting,"Alameda dos Jurupis - Indianópolis, São Paulo",115 m²,3,1,2,R$ 7.000/mês,Cond. R$ 1.434 • IPTU R$ 790
2791812025,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-prudente-sao-paulo-com-garagem-91m2-venda-RS970000-id-2791812025/,Apartamento para alugar ,renting,"Rua Orfanato - Vila Prudente, São Paulo",91 m²,3,3,2,R$ 5.000/mês,Cond. R$ 795 • IPTU R$ 225
2777574161,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-197m2-aluguel-RS24625-id-2777574161/,Sala/Conjunto para alugar ,renting,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo",197 m²,,5,4,R$ 24.625/mês,Cond. R$ 3.473 • IPTU R$ 1.510
2791552523,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-maria-baixa-sao-paulo-40m2-aluguel-RS1363-id-2791552523/,Apartamento para alugar ,renting,"Rua Antônio Fonseca - Vila Maria Baixa, São Paulo",40 m²,1,1,,R$ 1.363/mês,Cond. R$ 100 • IPTU R$ 87
2791838719,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791838719/,Apartamento para alugar ,renting,"Rua Benedito Branco de Abreu - Jardim das Vertentes, São Paulo",22 m²,1,1,,R$ 2.100/mês,Cond. R$ 250
2790543429,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-olimpia-sao-paulo-com-garagem-110m2-aluguel-RS10000-id-2790543429/,Apartamento para alugar ,renting,"Rua Alvorada - Vila Olímpia, São Paulo",110 m²,3,3,2,R$ 10.000/mês,Cond. R$ 1.700 • IPTU R$ 827
,,Sala/Conjunto para alugar ,renting,"Avenida Ibirapuera - Indianópolis, São Paulo",150 m²,,3,3,R$ 13.990/mês,Cond. R$ 2.900 • IPTU R$ 825
2778219851,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-23m2-aluguel-RS3420-id-2778219851/,Flat para alugar ,renting,"Rua Pamplona - Jardim Paulista, São Paulo",23 m²,1,1,,R$ 3.420/mês,Cond. R$ 580 • IPTU R$ 200
,,Flat para alugar ,renting,"Rua Leopoldo Couto Magalhães Júnior - Itaim Bibi, São Paulo",45 m²,1,1,1,R$ 3.900/mês,Cond. R$ 1.000 • IPTU R$ 100
2790637614,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-38m2-aluguel-RS3000-id-2790637614/,Apartamento para alugar ,renting,"Rua João Álvares Soares - Campo Belo, São Paulo",38 m²,1,1,1,R$ 3.000/mês,Cond. R$ 1.139 • IPTU R$ 167
2776881619,https://www.vivareal.com.br/imovel/sala-comercial-vila-andrade-sao-paulo-com-garagem-38m2-aluguel-RS3400-id-2776881619/,Sala/Conjunto para alugar ,renting,"Rua Jandiatuba - Vila Andrade, São Paulo",38 m²,,,1,R$ 3.400/mês,Cond. R$ 620 • IPTU R$ 298
2791507025,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-ede-sao-paulo-60m2-aluguel-RS1780-id-2791507025/,Casa para alugar ,renting,"Rua Ponte Nova - Vila Ede, São Paulo",60 m²,2,1,,R$ 1.780/mês,IPTU R$ 160
2756020043,https://www.vivareal.com.br/imovel/sala-comercial-vila-sao-francisco-zona-sul-sao-paulo-com-garagem-56m2-aluguel-RS3800-id-2756020043/,Sala/Conjunto para alugar ,renting,"Rua Enxovia - Vila Sao Francisco (Zona Sul), São Paulo",56 m²,,1,1,R$ 3.800/mês,Cond. R$ 637 • IPTU R$ 445
2791330223,https://www.vivareal.com.br/imovel/apartamento-3-quartos-moinho-velho-sao-paulo-com-garagem-65m2-aluguel-RS2700-id-2791330223/,Apartamento para alugar ,renting," - Moinho Velho, São Paulo",65 m²,3,2,1,R$ 2.700/mês,Cond. R$ 700
2775785921,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-182m2-aluguel-RS22750-id-2775785921/,Sala/Conjunto para alugar ,renting,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo",182 m²,,4,4,R$ 22.750/mês,Cond. R$ 3.910 • IPTU R$ 1.700
,,Flat para alugar ,renting,"Rua Leopoldo Couto Magalhães Júnior - Itaim Bibi, São Paulo",45 m²,1,1,1,R$ 3.666/mês,Cond. R$ 1.198 • IPTU R$ 136
2761170655,https://www.vivareal.com.br/imovel/imovel-comercial-indianopolis-sao-paulo-130m2-aluguel-RS6500-id-2761170655/,Imóvel comercial para alugar ,renting,"Alameda Iraé - Indianópolis, São Paulo",130 m²,,2,,R$ 6.500/mês,IPTU R$ 364
