id,link,operation,size,dorms,toilets,garage,price,additional_costs,type,street,neighborhood,city,latitude,longitude
2790645831,https://www.vivareal.com.br/imovel/cobertura-3-quartos-indianopolis-sao-paulo-com-garagem-115m2-aluguel-RS7000-id-2790645831/,renting,115,3,1,2,7000,2224,Apartamento,Alameda dos Jurupis,Indianópolis,São Paulo,-23.601245,-46.6568843
2791812025,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-prudente-sao-paulo-com-garagem-91m2-venda-RS970000-id-2791812025/,renting,91,3,3,2,5000,1020,Apartamento,Rua Orfanato,Vila Prudente,São Paulo,0.0,0.0
2777574161,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-197m2-aluguel-RS24625-id-2777574161/,renting,197,0,5,4,24625,4983,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,-23.5949207,-46.6918235
2791552523,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-maria-baixa-sao-paulo-40m2-aluguel-RS1363-id-2791552523/,renting,40,1,1,0,1363,187,Apartamento,Rua Antônio Fonseca,Vila Maria Baixa,São Paulo,-23.593841,-46.740842
2791838719,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-das-vertentes-sao-paulo-22m2-venda-RS260000-id-2791838719/,renting,22,1,1,0,2100,250,Apartamento,Rua Benedito Branco de Abreu,Jardim das Vertentes,São Paulo,-23.585335,-46.742505
2790543429,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-olimpia-sao-paulo-com-garagem-110m2-aluguel-RS10000-id-2790543429/,renting,110,3,3,2,10000,2527,Apartamento,Rua Alvorada,Vila Olímpia,São Paulo,-23.5982587,-46.6829171
0,0,renting,150,0,3,3,13990,3725,Sala/Conjunto,Avenida Ibirapuera,Indianópolis,São Paulo,-23.6055343,-46.6641426
2778219851,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-23m2-aluguel-RS3420-id-2778219851/,renting,23,1,1,0,3420,780,Flat,Rua Pamplona,Jardim Paulista,São Paulo,-23.571715,-46.6615034
0,0,renting,45,1,1,1,3900,1100,Flat,Rua Leopoldo Couto Magalhães Júnior,Itaim Bibi,São Paulo,-23.5892049,-46.6839228
2790637614,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-38m2-aluguel-RS3000-id-2790637614/,renting,38,1,1,1,3000,1306,Apartamento,Rua João Álvares Soares,Campo Belo,São Paulo,-23.626491,-46.6760967
2776881619,https://www.vivareal.com.br/imovel/sala-comercial-vila-andrade-sao-paulo-com-garagem-38m2-aluguel-RS3400-id-2776881619/,renting,38,0,0,1,3400,918,Sala/Conjunto,Rua Jandiatuba,Vila Andrade,São Paulo,-23.6328156,-46.7352219
2791507025,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-ede-sao-paulo-60m2-aluguel-RS1780-id-2791507025/,renting,60,2,1,0,1780,160,Casa,Rua Ponte Nova,Vila Ede,São Paulo,-23.4973895,-46.5940928
2756020043,https://www.vivareal.com.br/imovel/sala-comercial-vila-sao-francisco-zona-sul-sao-paulo-com-garagem-56m2-aluguel-RS3800-id-2756020043/,renting,56,0,1,1,3800,1082,Sala/Conjunto,Rua Enxovia,Vila Sao Francisco (Zona Sul),São Paulo,-23.628476,-46.699861
2791330223,https://www.vivareal.com.br/imovel/apartamento-3-quartos-moinho-velho-sao-paulo-com-garagem-65m2-aluguel-RS2700-id-2791330223/,renting,65,3,2,1,2700,700,Apartamento,0,Moinho Velho,São Paulo,0.0,0.0
2775785921,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-sao-paulo-com-garagem-182m2-aluguel-RS22750-id-2775785921/,renting,182,0,4,4,22750,5610,Sala/Conjunto,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,-23.5949207,-46.6918235
0,0,renting,45,1,1,1,3666,1334,Flat,Rua Leopoldo Couto Magalhães Júnior,Itaim Bibi,São Paulo,-23.5892049,-46.6839228
2761170655,https://www.vivareal.com.br/imovel/imovel-comercial-indianopolis-sao-paulo-130m2-aluguel-RS6500-id-2761170655/,renting,130,0,2,0,6500,364,Imóvel comercial,Alameda Iraé,Indianópolis,São Paulo,-23.6047168,-46.6616965
